FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;11.07.2022;113,62
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;12.07.2022;113,71
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;13.07.2022;113,31
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;14.07.2022;113,49
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;15.07.2022;113,57
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;18.07.2022;113,27
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;19.07.2022;112
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;20.07.2022;111,75
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;21.07.2022;112,07
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;22.07.2022;111,93
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;25.07.2022;111,01
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;26.07.2022;110,71
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;27.07.2022;109,96
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;28.07.2022;109,52
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;29.07.2022;109,13
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;01.08.2022;108,92
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;02.08.2022;109,72
B;Virkedag;I44;Importveid kursindeks;NOK;Norske kroner;SP;Spot;2;true;0;Enheter;C;ECB concertation tidspunkt 14:15 CET;03.08.2022;109,15
